Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_89_529,VGND,li1,249.3200,255.6800,0.000165
FILLER_89_517,VGND,li1,246.1000,255.6800,0.000165
FILLER_89_505,VGND,li1,240.5800,255.6800,0.000165
FILLER_89_501,VGND,li1,236.6700,255.6800,0.000165
FILLER_89_489,VGND,li1,233.2200,255.6800,0.000165
FILLER_89_482,VGND,li1,228.1600,255.6800,0.000165
FILLER_89_477,VGND,li1,225.4000,255.6800,0.000165
FILLER_89_470,VGND,li1,222.1800,255.6800,0.000165
FILLER_89_462,VGND,li1,219.8800,255.6800,0.000165
FILLER_89_455,VGND,li1,215.5100,255.6800,0.000162
FILLER_89_449,VGND,li1,212.5200,255.6800,0.000159
FILLER_89_441,VGND,li1,209.0700,255.6800,0.000155
FILLER_89_433,VGND,li1,206.5400,255.6800,0.000150
FILLER_89_421,VGND,li1,201.9400,255.6800,0.000140
FILLER_89_419,VGND,li1,198.4900,255.6800,0.000130
FILLER_89_413,VGND,li1,196.8800,255.6800,0.000130
FILLER_89_407,VGND,li1,193.2000,255.6800,0.000122
FILLER_89_399,VGND,li1,190.9000,255.6800,0.000116
FILLER_89_393,VGND,li1,186.7600,255.6800,0.000099
FILLER_89_389,VGND,li1,185.1500,255.6800,0.000099
FILLER_89_377,VGND,li1,181.7000,255.6800,0.000087
FILLER_89_365,VGND,li1,176.1800,255.6800,0.000069
FILLER_89_361,VGND,li1,172.2700,255.6800,0.000056
FILLER_89_349,VGND,li1,168.8200,255.6800,0.000045
FILLER_89_337,VGND,li1,163.3000,255.6800,0.000051
FILLER_89_333,VGND,li1,159.3900,255.6800,0.000056
FILLER_89_321,VGND,li1,155.9400,255.6800,0.000060
FILLER_89_309,VGND,li1,150.4200,255.6800,0.000066
FILLER_89_306,VGND,li1,146.7400,255.6800,0.000070
FILLER_89_298,VGND,li1,144.4400,255.6800,0.000073
FILLER_89_286,VGND,li1,139.8400,255.6800,0.000078
FILLER_89_281,VGND,li1,135.2400,255.6800,0.000084
FILLER_89_279,VGND,li1,134.0900,255.6800,0.000087
FILLER_89_273,VGND,li1,132.4800,255.6800,0.000087
FILLER_89_266,VGND,li1,128.5700,255.6800,0.000091
FILLER_89_259,VGND,li1,125.3500,255.6800,0.000090
FILLER_89_253,VGND,li1,122.3600,255.6800,0.000088
FILLER_89_249,VGND,li1,120.7500,255.6800,0.000088
FILLER_89_237,VGND,li1,117.3000,255.6800,0.000085
FILLER_89_225,VGND,li1,111.7800,255.6800,0.000081
FILLER_89_221,VGND,li1,107.8700,255.6800,0.000078
FILLER_89_209,VGND,li1,104.4200,255.6800,0.000076
FILLER_89_197,VGND,li1,98.9000,255.6800,0.000071
FILLER_89_193,VGND,li1,94.9900,255.6800,0.000068
FILLER_89_181,VGND,li1,91.5400,255.6800,0.000066
FILLER_89_169,VGND,li1,86.0200,255.6800,0.000062
FILLER_89_165,VGND,li1,82.1100,255.6800,0.000059
FILLER_89_153,VGND,li1,78.6600,255.6800,0.000056
FILLER_89_141,VGND,li1,73.1400,255.6800,0.000052
FILLER_89_137,VGND,li1,69.2300,255.6800,0.000049
FILLER_89_125,VGND,li1,65.7800,255.6800,0.000046
FILLER_89_113,VGND,li1,60.2600,255.6800,0.000042
FILLER_89_109,VGND,li1,56.3500,255.6800,0.000039
FILLER_89_97,VGND,li1,52.9000,255.6800,0.000036
FILLER_89_85,VGND,li1,47.3800,255.6800,0.000032
FILLER_89_81,VGND,li1,43.4700,255.6800,0.000029
FILLER_89_69,VGND,li1,40.0200,255.6800,0.000027
FILLER_89_57,VGND,li1,34.5000,255.6800,0.000022
FILLER_89_53,VGND,li1,30.5900,255.6800,0.000019
FILLER_89_41,VGND,li1,27.1400,255.6800,0.000017
FILLER_89_29,VGND,li1,21.6200,255.6800,0.000013
FILLER_89_27,VGND,li1,18.1700,255.6800,0.000010
FILLER_89_15,VGND,li1,15.1800,255.6800,0.000008
FILLER_89_3,VGND,li1,9.6600,255.6800,0.000008
FILLER_88_525,VGND,li1,248.4000,250.2400,0.000065
FILLER_88_513,VGND,li1,244.2600,250.2400,0.000065
FILLER_88_501,VGND,li1,238.7400,250.2400,0.000065
FILLER_88_489,VGND,li1,233.2200,250.2400,0.000065
FILLER_88_477,VGND,li1,227.7000,250.2400,0.000065
FILLER_88_475,VGND,li1,224.2500,250.2400,0.000065
FILLER_88_463,VGND,li1,221.2600,250.2400,0.000065
FILLER_88_451,VGND,li1,215.7400,250.2400,0.000065
FILLER_88_439,VGND,li1,210.2200,250.2400,0.000065
FILLER_88_427,VGND,li1,204.7000,250.2400,0.000065
FILLER_88_417,VGND,li1,198.0300,250.2400,0.000064
FILLER_88_408,VGND,li1,193.4300,250.2400,0.000062
FILLER_88_404,VGND,li1,192.2800,250.2400,0.000062
FILLER_88_392,VGND,li1,188.6000,250.2400,0.000060
FILLER_88_385,VGND,li1,183.0800,250.2400,0.000055
FILLER_88_377,VGND,li1,180.7800,250.2400,0.000053
FILLER_88_362,VGND,li1,172.5000,250.2400,0.000043
FILLER_88_350,VGND,li1,169.2800,250.2400,0.000040
FILLER_88_338,VGND,li1,163.7600,250.2400,0.000050
FILLER_88_325,VGND,li1,155.2500,250.2400,0.000060
FILLER_88_321,VGND,li1,154.1000,250.2400,0.000060
FILLER_88_309,VGND,li1,150.4200,250.2400,0.000063
FILLER_88_305,VGND,li1,146.5100,250.2400,0.000068
FILLER_88_289,VGND,li1,138.6900,250.2400,0.000069
FILLER_88_277,VGND,li1,135.7000,250.2400,0.000067
FILLER_88_265,VGND,li1,130.1800,250.2400,0.000065
FILLER_88_253,VGND,li1,124.6600,250.2400,0.000062
FILLER_88_251,VGND,li1,121.2100,250.2400,0.000059
FILLER_88_245,VGND,li1,119.6000,250.2400,0.000059
FILLER_88_233,VGND,li1,115.4600,250.2400,0.000057
FILLER_88_221,VGND,li1,109.9400,250.2400,0.000053
FILLER_88_209,VGND,li1,104.4200,250.2400,0.000051
FILLER_88_197,VGND,li1,98.9000,250.2400,0.000048
FILLER_88_195,VGND,li1,95.4500,250.2400,0.000046
FILLER_88_189,VGND,li1,93.8400,250.2400,0.000046
FILLER_88_177,VGND,li1,89.7000,250.2400,0.000044
FILLER_88_165,VGND,li1,84.1800,250.2400,0.000040
FILLER_88_153,VGND,li1,78.6600,250.2400,0.000038
FILLER_88_141,VGND,li1,73.1400,250.2400,0.000035
FILLER_88_139,VGND,li1,69.6900,250.2400,0.000032
FILLER_88_133,VGND,li1,68.0800,250.2400,0.000032
FILLER_88_121,VGND,li1,63.9400,250.2400,0.000030
FILLER_88_109,VGND,li1,58.4200,250.2400,0.000027
FILLER_88_97,VGND,li1,52.9000,250.2400,0.000025
FILLER_88_85,VGND,li1,47.3800,250.2400,0.000022
FILLER_88_83,VGND,li1,43.9300,250.2400,0.000019
FILLER_88_77,VGND,li1,42.3200,250.2400,0.000019
FILLER_88_65,VGND,li1,38.1800,250.2400,0.000017
FILLER_88_53,VGND,li1,32.6600,250.2400,0.000014
FILLER_88_41,VGND,li1,27.1400,250.2400,0.000011
FILLER_88_29,VGND,li1,21.6200,250.2400,0.000008
FILLER_88_27,VGND,li1,18.1700,250.2400,0.000007
FILLER_88_15,VGND,li1,15.1800,250.2400,0.000005
FILLER_88_3,VGND,li1,9.6600,250.2400,0.000005
FILLER_87_529,VGND,li1,249.3200,250.2400,0.000065
FILLER_87_517,VGND,li1,246.1000,250.2400,0.000065
FILLER_87_505,VGND,li1,240.5800,250.2400,0.000065
FILLER_87_503,VGND,li1,237.1300,250.2400,0.000065
FILLER_87_497,VGND,li1,235.5200,250.2400,0.000065
FILLER_87_485,VGND,li1,231.3800,250.2400,0.000065
FILLER_87_473,VGND,li1,225.8600,250.2400,0.000065
FILLER_87_461,VGND,li1,220.3400,250.2400,0.000065
FILLER_87_449,VGND,li1,214.8200,250.2400,0.000065
FILLER_87_440,VGND,li1,209.7600,250.2400,0.000065
FILLER_87_428,VGND,li1,205.1600,250.2400,0.000065
FILLER_87_403,VGND,li1,191.8200,250.2400,0.000062
FILLER_87_352,VGND,li1,167.6700,250.2400,0.000040
FILLER_87_344,VGND,li1,165.6000,250.2400,0.000044
FILLER_87_316,VGND,li1,151.5700,250.2400,0.000063
FILLER_87_308,VGND,li1,149.0400,250.2400,0.000066
FILLER_87_281,VGND,li1,135.4700,250.2400,0.000067
FILLER_87_279,VGND,li1,134.0900,250.2400,0.000066
FILLER_87_273,VGND,li1,132.4800,250.2400,0.000066
FILLER_87_261,VGND,li1,128.3400,250.2400,0.000064
FILLER_87_249,VGND,li1,122.8200,250.2400,0.000060
FILLER_87_237,VGND,li1,117.3000,250.2400,0.000058
FILLER_87_225,VGND,li1,111.7800,250.2400,0.000055
FILLER_87_223,VGND,li1,108.3300,250.2400,0.000052
FILLER_87_217,VGND,li1,106.7200,250.2400,0.000052
FILLER_87_205,VGND,li1,102.5800,250.2400,0.000050
FILLER_87_193,VGND,li1,97.0600,250.2400,0.000047
FILLER_87_181,VGND,li1,91.5400,250.2400,0.000045
FILLER_87_169,VGND,li1,86.0200,250.2400,0.000042
FILLER_87_167,VGND,li1,82.5700,250.2400,0.000039
FILLER_87_161,VGND,li1,80.9600,250.2400,0.000039
FILLER_87_149,VGND,li1,76.8200,250.2400,0.000037
FILLER_87_137,VGND,li1,71.3000,250.2400,0.000034
FILLER_87_125,VGND,li1,65.7800,250.2400,0.000031
FILLER_87_113,VGND,li1,60.2600,250.2400,0.000028
FILLER_87_111,VGND,li1,56.8100,250.2400,0.000026
FILLER_87_105,VGND,li1,55.2000,250.2400,0.000026
FILLER_87_93,VGND,li1,51.0600,250.2400,0.000024
FILLER_87_81,VGND,li1,45.5400,250.2400,0.000020
FILLER_87_69,VGND,li1,40.0200,250.2400,0.000018
FILLER_87_57,VGND,li1,34.5000,250.2400,0.000015
FILLER_87_55,VGND,li1,31.0500,250.2400,0.000013
FILLER_87_51,VGND,li1,29.9000,250.2400,0.000013
FILLER_87_39,VGND,li1,26.2200,250.2400,0.000011
FILLER_87_27,VGND,li1,20.7000,250.2400,0.000008
FILLER_87_15,VGND,li1,15.1800,250.2400,0.000005
FILLER_87_3,VGND,li1,9.6600,250.2400,0.000005
FILLER_86_525,VGND,li1,248.4000,244.8000,0.000135
FILLER_86_513,VGND,li1,244.2600,244.8000,0.000135
FILLER_86_501,VGND,li1,238.7400,244.8000,0.000135
FILLER_86_489,VGND,li1,233.2200,244.8000,0.000135
FILLER_86_477,VGND,li1,227.7000,244.8000,0.000135
FILLER_86_475,VGND,li1,224.2500,244.8000,0.000135
FILLER_86_463,VGND,li1,221.2600,244.8000,0.000135
FILLER_86_451,VGND,li1,215.7400,244.8000,0.000135
FILLER_86_439,VGND,li1,210.2200,244.8000,0.000135
FILLER_86_427,VGND,li1,204.7000,244.8000,0.000135
FILLER_86_386,VGND,li1,183.3100,244.8000,0.000119
FILLER_86_375,VGND,li1,178.2500,244.8000,0.000103
FILLER_86_362,VGND,li1,172.5000,244.8000,0.000089
FILLER_86_352,VGND,li1,168.1300,244.8000,0.000075
FILLER_86_341,VGND,li1,163.3000,244.8000,0.000098
FILLER_86_316,VGND,li1,151.5700,244.8000,0.000127
FILLER_86_290,VGND,li1,139.1500,244.8000,0.000152
FILLER_86_277,VGND,li1,134.7800,244.8000,0.000157
FILLER_86_266,VGND,li1,128.1100,244.8000,0.000158
FILLER_86_253,VGND,li1,122.1300,244.8000,0.000150
FILLER_86_251,VGND,li1,121.2100,244.8000,0.000147
FILLER_86_245,VGND,li1,119.6000,244.8000,0.000147
FILLER_86_233,VGND,li1,115.4600,244.8000,0.000142
FILLER_86_221,VGND,li1,109.9400,244.8000,0.000134
FILLER_86_209,VGND,li1,104.4200,244.8000,0.000128
FILLER_86_197,VGND,li1,98.9000,244.8000,0.000121
FILLER_86_195,VGND,li1,95.4500,244.8000,0.000114
FILLER_86_189,VGND,li1,93.8400,244.8000,0.000114
FILLER_86_177,VGND,li1,89.7000,244.8000,0.000109
FILLER_86_165,VGND,li1,84.1800,244.8000,0.000100
FILLER_86_153,VGND,li1,78.6600,244.8000,0.000095
FILLER_86_141,VGND,li1,73.1400,244.8000,0.000088
FILLER_86_139,VGND,li1,69.6900,244.8000,0.000081
FILLER_86_133,VGND,li1,68.0800,244.8000,0.000081
FILLER_86_121,VGND,li1,63.9400,244.8000,0.000076
