Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_89_529,VPWR,li1,249.3200,252.9600,1.799806
FILLER_89_517,VPWR,li1,246.1000,252.9600,1.799806
FILLER_89_505,VPWR,li1,240.5800,252.9600,1.799806
FILLER_89_475,VPWR,li1,224.2500,252.9600,1.799808
FILLER_89_449,VPWR,li1,212.5200,252.9600,1.799815
FILLER_89_441,VPWR,li1,209.0700,252.9600,1.799818
FILLER_89_433,VPWR,li1,206.5400,252.9600,1.799823
FILLER_89_421,VPWR,li1,201.9400,252.9600,1.799836
FILLER_89_419,VPWR,li1,198.4900,252.9600,1.799840
FILLER_89_413,VPWR,li1,196.8800,252.9600,1.799845
FILLER_89_407,VPWR,li1,193.2000,252.9600,1.799852
FILLER_89_399,VPWR,li1,190.9000,252.9600,1.799858
FILLER_89_393,VPWR,li1,186.7600,252.9600,1.799867
FILLER_89_389,VPWR,li1,185.1500,252.9600,1.799873
FILLER_89_377,VPWR,li1,181.7000,252.9600,1.799883
FILLER_89_365,VPWR,li1,176.1800,252.9600,1.799906
FILLER_89_361,VPWR,li1,172.2700,252.9600,1.799916
FILLER_89_349,VPWR,li1,168.8200,252.9600,1.799929
FILLER_89_337,VPWR,li1,163.3000,252.9600,1.799932
FILLER_89_333,VPWR,li1,159.3900,252.9600,1.799922
FILLER_89_321,VPWR,li1,155.9400,252.9600,1.799916
FILLER_89_309,VPWR,li1,150.4200,252.9600,1.799906
FILLER_89_306,VPWR,li1,146.7400,252.9600,1.799898
FILLER_89_298,VPWR,li1,144.4400,252.9600,1.799894
FILLER_89_286,VPWR,li1,139.8400,252.9600,1.799887
FILLER_89_281,VPWR,li1,135.2400,252.9600,1.799885
FILLER_89_279,VPWR,li1,134.0900,252.9600,1.799884
FILLER_89_273,VPWR,li1,132.4800,252.9600,1.799884
FILLER_89_266,VPWR,li1,128.5700,252.9600,1.799880
FILLER_89_259,VPWR,li1,125.3500,252.9600,1.799881
FILLER_89_253,VPWR,li1,122.3600,252.9600,1.799883
FILLER_89_249,VPWR,li1,120.7500,252.9600,1.799885
FILLER_89_237,VPWR,li1,117.3000,252.9600,1.799887
FILLER_89_225,VPWR,li1,111.7800,252.9600,1.799893
FILLER_89_221,VPWR,li1,107.8700,252.9600,1.799897
FILLER_89_209,VPWR,li1,104.4200,252.9600,1.799900
FILLER_89_197,VPWR,li1,98.9000,252.9600,1.799905
FILLER_89_193,VPWR,li1,94.9900,252.9600,1.799910
FILLER_89_181,VPWR,li1,91.5400,252.9600,1.799913
FILLER_89_169,VPWR,li1,86.0200,252.9600,1.799918
FILLER_89_165,VPWR,li1,82.1100,252.9600,1.799922
FILLER_89_153,VPWR,li1,78.6600,252.9600,1.799925
FILLER_89_141,VPWR,li1,73.1400,252.9600,1.799931
FILLER_89_137,VPWR,li1,69.2300,252.9600,1.799936
FILLER_89_125,VPWR,li1,65.7800,252.9600,1.799938
FILLER_89_113,VPWR,li1,60.2600,252.9600,1.799943
FILLER_89_109,VPWR,li1,56.3500,252.9600,1.799947
FILLER_89_97,VPWR,li1,52.9000,252.9600,1.799951
FILLER_89_85,VPWR,li1,47.3800,252.9600,1.799956
FILLER_89_81,VPWR,li1,43.4700,252.9600,1.799961
FILLER_89_69,VPWR,li1,40.0200,252.9600,1.799963
FILLER_89_57,VPWR,li1,34.5000,252.9600,1.799969
FILLER_89_53,VPWR,li1,30.5900,252.9600,1.799972
FILLER_89_41,VPWR,li1,27.1400,252.9600,1.799976
FILLER_89_29,VPWR,li1,21.6200,252.9600,1.799981
FILLER_89_27,VPWR,li1,18.1700,252.9600,1.799985
FILLER_89_15,VPWR,li1,15.1800,252.9600,1.799988
FILLER_89_3,VPWR,li1,9.6600,252.9600,1.799990
FILLER_88_525,VPWR,li1,248.4000,252.9600,1.799806
FILLER_88_513,VPWR,li1,244.2600,252.9600,1.799806
FILLER_88_501,VPWR,li1,238.7400,252.9600,1.799806
FILLER_88_489,VPWR,li1,233.2200,252.9600,1.799806
FILLER_88_477,VPWR,li1,227.7000,252.9600,1.799807
FILLER_88_475,VPWR,li1,224.2500,252.9600,1.799808
FILLER_88_463,VPWR,li1,221.2600,252.9600,1.799809
FILLER_88_451,VPWR,li1,215.7400,252.9600,1.799811
FILLER_88_439,VPWR,li1,210.2200,252.9600,1.799818
FILLER_88_427,VPWR,li1,204.7000,252.9600,1.799827
FILLER_88_417,VPWR,li1,198.0300,252.9600,1.799845
FILLER_88_408,VPWR,li1,193.4300,252.9600,1.799852
FILLER_88_396,VPWR,li1,190.4400,252.9600,1.799858
FILLER_88_386,VPWR,li1,183.3100,252.9600,1.799883
FILLER_88_380,VPWR,li1,181.7000,252.9600,1.799883
FILLER_88_352,VPWR,li1,170.2000,252.9600,1.799929
FILLER_88_340,VPWR,li1,164.6800,252.9600,1.799932
FILLER_88_321,VPWR,li1,154.1000,252.9600,1.799913
FILLER_88_309,VPWR,li1,150.4200,252.9600,1.799906
FILLER_88_305,VPWR,li1,146.5100,252.9600,1.799898
FILLER_88_289,VPWR,li1,138.6900,252.9600,1.799887
FILLER_88_277,VPWR,li1,135.7000,252.9600,1.799885
FILLER_88_265,VPWR,li1,130.1800,252.9600,1.799882
FILLER_88_253,VPWR,li1,124.6600,252.9600,1.799881
FILLER_88_251,VPWR,li1,121.2100,252.9600,1.799885
FILLER_88_245,VPWR,li1,119.6000,252.9600,1.799885
FILLER_88_233,VPWR,li1,115.4600,252.9600,1.799889
FILLER_88_221,VPWR,li1,109.9400,252.9600,1.799895
FILLER_88_209,VPWR,li1,104.4200,252.9600,1.799900
FILLER_88_197,VPWR,li1,98.9000,252.9600,1.799905
FILLER_88_195,VPWR,li1,95.4500,252.9600,1.799910
FILLER_88_189,VPWR,li1,93.8400,252.9600,1.799910
FILLER_88_177,VPWR,li1,89.7000,252.9600,1.799914
FILLER_88_165,VPWR,li1,84.1800,252.9600,1.799920
FILLER_88_153,VPWR,li1,78.6600,252.9600,1.799925
