net,length_um
net80,1.060625mm
net77,1.051875mm
net35,1.019085mm
net38,1.01767mm
net109,940.03µm
y_out_sky130_fd_sc_hd__dfrtp_2_Q_5_D_sky130_fd_sc_hd__xnor2_2_Y_A_sky130_fd_sc_hd__nor2_2_Y_A_sky130_fd_sc_hd__o211a_2_X_C1_sky130_fd_sc_hd__o21ai_2_Y_B1_sky130_fd_sc_hd__o21bai_2_Y_B1_N_sky130_fd_sc_hd__a21oi_2_Y_A1_sky130_fd_sc_hd__and4_2_X_D,936.49µm
net105,916.795µm
net15,898.3µm
net21,892.12µm
net23,884.6µm
net24,839.8µm
net48,824.47µm
net13,775.3µm
net5,774.63µm
net10,741.86µm
net100,727.92µm
net4,727.54µm
clk,695.31µm
net1,694.78µm
net17,667.12µm
net7,661.68µm
net8,645.64µm
net224,643.47µm
net236,617.7µm
net129,613.74µm
y_out_sky130_fd_sc_hd__dfrtp_2_Q_D_sky130_fd_sc_hd__xnor2_2_Y_B_sky130_fd_sc_hd__xnor2_2_Y_B_sky130_fd_sc_hd__xnor2_2_Y_A_sky130_fd_sc_hd__a21oi_2_Y_A2_sky130_fd_sc_hd__o21ba_2_X_A2_sky130_fd_sc_hd__a21bo_2_X_A1_sky130_fd_sc_hd__and4_2_X_B,610.1µm
net104,607.28µm
net84,595.985µm
net221,594.52µm
net46,581.28µm
net19,574.08µm
net62,572.88µm
net69,565.595µm
net20,558.1µm
y_out_sky130_fd_sc_hd__dfrtp_2_Q_8_D_sky130_fd_sc_hd__xor2_2_X_A_sky130_fd_sc_hd__xor2_2_X_B_sky130_fd_sc_hd__a21oi_2_Y_A1_sky130_fd_sc_hd__a21oi_2_Y_B1_sky130_fd_sc_hd__a21oi_2_Y_A1_sky130_fd_sc_hd__and4_2_X_D,557.38µm
net254,557.22µm
net14,553.8µm
