6 Lint warnings found.
'PNR_SDC_FILE' is not defined. Using generic fallback SDC for OpenROAD PnR steps.
'SIGNOFF_SDC_FILE' is not defined. Using generic fallback SDC for OpenROAD PnR steps.
[PDN-0239] Core ring shape falls outside the die bounds.
[GRT-0097] No global routing found for nets.
[GRT-0097] No global routing found for nets.
[GRT-0097] No global routing found for nets.
[GRT-0041] Net VPWR has wires/vias outside die area.
[GRT-0041] Net VPWR has wires/vias outside die area.
[GRT-0041] Net VPWR has wires/vias outside die area.
[GRT-0041] Net VPWR has wires/vias outside die area.
[GRT-0041] Net VPWR has wires/vias outside die area.
[GRT-0041] Net VPWR has wires/vias outside die area.
[GRT-0041] Net VPWR has wires/vias outside die area.
[GRT-0041] Net VPWR has wires/vias outside die area.
[GRT-0041] Net VPWR has wires/vias outside die area.
[GRT-0041] Net VPWR has wires/vias outside die area.
[GRT-0041] Net VPWR has wires/vias outside die area.
[GRT-0041] Net VPWR has wires/vias outside die area.
[GRT-0041] Net VPWR has wires/vias outside die area.
[GRT-0041] Net VPWR has wires/vias outside die area.
[GRT-0041] Net VPWR has wires/vias outside die area.
[GRT-0041] Net VPWR has wires/vias outside die area.
[GRT-0041] Net VPWR has wires/vias outside die area.
[GRT-0041] Net VPWR has wires/vias outside die area.
[GRT-0041] Net VPWR has wires/vias outside die area.
[GRT-0041] Net VPWR has wires/vias outside die area.
[GRT-0041] Net VPWR has wires/vias outside die area.
[GRT-0041] Net VPWR has wires/vias outside die area.
[GRT-0041] Net VPWR has wires/vias outside die area.
[GRT-0041] Net VPWR has wires/vias outside die area.
[GRT-0041] Net VPWR has wires/vias outside die area.
[GRT-0041] Net VPWR has wires/vias outside die area.
[GRT-0041] Net VPWR has wires/vias outside die area.
[GRT-0041] Net VPWR has wires/vias outside die area.
[GRT-0041] Net VPWR has wires/vias outside die area.
[GRT-0041] Net VPWR has wires/vias outside die area.
[GRT-0041] Net VPWR has wires/vias outside die area.
[GRT-0041] Net VPWR has wires/vias outside die area.
[GRT-0041] Net VPWR has wires/vias outside die area.
[GRT-0041] Net VPWR has wires/vias outside die area.
[GRT-0041] Net VPWR has wires/vias outside die area.
[GRT-0041] Net VPWR has wires/vias outside die area.
[GRT-0041] Net VPWR has wires/vias outside die area.
[GRT-0041] Net VPWR has wires/vias outside die area.
[GRT-0041] Net VPWR has wires/vias outside die area.
[GRT-0041] Net VPWR has wires/vias outside die area.
[GRT-0041] Net VPWR has wires/vias outside die area.
[GRT-0041] Net VPWR has wires/vias outside die area.
[GRT-0041] Net VPWR has wires/vias outside die area.
[GRT-0041] Net VPWR has wires/vias outside die area.
[GRT-0041] Net VPWR has wires/vias outside die area.
[GRT-0041] Net VPWR has wires/vias outside die area.
[GRT-0041] Net VPWR has wires/vias outside die area.
