Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,10
design__inferred_latch__count,0
design__instance__count,7634
design__instance__area,17321.6
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_1v80,0
design__max_fanout_violation__count__corner:nom_tt_025C_1v80,4
design__max_cap_violation__count__corner:nom_tt_025C_1v80,0
power__internal__total,0.004012618213891983
power__switching__total,0.004985969979315996
power__leakage__total,3.755937427740719E-8
power__total,0.008998624980449677
clock__skew__worst_hold__corner:nom_tt_025C_1v80,-0.26383571074648177
clock__skew__worst_setup__corner:nom_tt_025C_1v80,0.26383571074648177
timing__hold__ws__corner:nom_tt_025C_1v80,0.32308218126411997
timing__setup__ws__corner:nom_tt_025C_1v80,21.456565131957227
timing__hold__tns__corner:nom_tt_025C_1v80,0.0
timing__setup__tns__corner:nom_tt_025C_1v80,0.0
timing__hold__wns__corner:nom_tt_025C_1v80,0
timing__setup__wns__corner:nom_tt_025C_1v80,0.0
timing__hold_vio__count__corner:nom_tt_025C_1v80,0
timing__hold_r2r__ws__corner:nom_tt_025C_1v80,0.323082
timing__hold_r2r_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_r2r__ws__corner:nom_tt_025C_1v80,22.804592
timing__setup_r2r_vio__count__corner:nom_tt_025C_1v80,0
design__max_slew_violation__count__corner:nom_ss_100C_1v60,0
design__max_fanout_violation__count__corner:nom_ss_100C_1v60,4
design__max_cap_violation__count__corner:nom_ss_100C_1v60,0
clock__skew__worst_hold__corner:nom_ss_100C_1v60,-0.2665230056535889
clock__skew__worst_setup__corner:nom_ss_100C_1v60,0.2665230056535889
timing__hold__ws__corner:nom_ss_100C_1v60,0.8825800340372184
timing__setup__ws__corner:nom_ss_100C_1v60,15.87908161016538
timing__hold__tns__corner:nom_ss_100C_1v60,0.0
timing__setup__tns__corner:nom_ss_100C_1v60,0.0
timing__hold__wns__corner:nom_ss_100C_1v60,0
timing__setup__wns__corner:nom_ss_100C_1v60,0.0
timing__hold_vio__count__corner:nom_ss_100C_1v60,0
timing__hold_r2r__ws__corner:nom_ss_100C_1v60,0.882580
timing__hold_r2r_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_r2r__ws__corner:nom_ss_100C_1v60,15.879082
timing__setup_r2r_vio__count__corner:nom_ss_100C_1v60,0
design__max_slew_violation__count__corner:nom_ff_n40C_1v95,0
design__max_fanout_violation__count__corner:nom_ff_n40C_1v95,4
design__max_cap_violation__count__corner:nom_ff_n40C_1v95,0
clock__skew__worst_hold__corner:nom_ff_n40C_1v95,-0.2633401071742725
clock__skew__worst_setup__corner:nom_ff_n40C_1v95,0.2633401071742725
timing__hold__ws__corner:nom_ff_n40C_1v95,0.11929935155201966
timing__setup__ws__corner:nom_ff_n40C_1v95,22.29968450791417
timing__hold__tns__corner:nom_ff_n40C_1v95,0.0
timing__setup__tns__corner:nom_ff_n40C_1v95,0.0
timing__hold__wns__corner:nom_ff_n40C_1v95,0
timing__setup__wns__corner:nom_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:nom_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:nom_ff_n40C_1v95,0.119299
timing__hold_r2r_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:nom_ff_n40C_1v95,25.400301
timing__setup_r2r_vio__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count,0
design__max_fanout_violation__count,4
design__max_cap_violation__count,0
clock__skew__worst_hold,-0.2604651290595445
clock__skew__worst_setup,0.2604651290595445
timing__hold__ws,0.11574030950132222
timing__setup__ws,15.714173518315738
timing__hold__tns,0.0
timing__setup__tns,0.0
timing__hold__wns,0
timing__setup__wns,0.0
timing__hold_vio__count,0
timing__hold_r2r__ws,0.115740
timing__hold_r2r_vio__count,0
timing__setup_vio__count,0
timing__setup_r2r__ws,15.714173
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 700.0 700.0
design__core__bbox,5.52 10.88 694.14 688.16
design__io,8
design__die__area,490000
design__core__area,466389
design__instance__count__stdcell,7634
design__instance__area__stdcell,17321.6
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__utilization,0.0371399
design__instance__utilization__stdcell,0.0371399
design__instance__count__class:inverter,87
design__instance__count__class:sequential_cell,74
design__instance__count__class:multi_input_combinational_cell,703
flow__warnings__count,1
flow__errors__count,0
design__instance__count__class:fill_cell,40105
design__instance__count__class:tap_cell,6651
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count,0
floorplan__design__io,6
design__io__hpwl,2489023
timing__drv__floating__nets,0
timing__drv__floating__pins,0
design__instance__displacement__total,0
design__instance__displacement__mean,0
design__instance__displacement__max,0
route__wirelength__estimated,30231
design__violations,0
design__instance__count__class:timing_repair_buffer,93
design__instance__count__class:clock_buffer,11
design__instance__count__class:clock_inverter,5
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,0
antenna__violating__nets,1
antenna__violating__pins,1
route__antenna_violation__count,1
antenna_diodes_count,10
design__instance__count__class:antenna_cell,10
route__net,971
route__net__special,2
route__drc_errors__iter:1,145
route__wirelength__iter:1,32696
route__drc_errors__iter:2,40
route__wirelength__iter:2,32645
route__drc_errors__iter:3,13
route__wirelength__iter:3,32657
route__drc_errors__iter:4,0
route__wirelength__iter:4,32643
route__drc_errors,0
route__wirelength,32643
route__vias,6089
route__vias__singlecut,6089
route__vias__multicut,0
design__disconnected_pin__count,0
design__critical_disconnected_pin__count,0
route__wirelength__max,571.06
timing__unannotated_net__count__corner:nom_tt_025C_1v80,7
timing__unannotated_net_filtered__count__corner:nom_tt_025C_1v80,0
timing__unannotated_net__count__corner:nom_ss_100C_1v60,7
timing__unannotated_net_filtered__count__corner:nom_ss_100C_1v60,0
timing__unannotated_net__count__corner:nom_ff_n40C_1v95,7
timing__unannotated_net_filtered__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count__corner:min_tt_025C_1v80,0
design__max_fanout_violation__count__corner:min_tt_025C_1v80,4
design__max_cap_violation__count__corner:min_tt_025C_1v80,0
clock__skew__worst_hold__corner:min_tt_025C_1v80,-0.2615561452566997
clock__skew__worst_setup__corner:min_tt_025C_1v80,0.2615561452566997
timing__hold__ws__corner:min_tt_025C_1v80,0.3182091347154648
timing__setup__ws__corner:min_tt_025C_1v80,21.490195120591874
timing__hold__tns__corner:min_tt_025C_1v80,0.0
timing__setup__tns__corner:min_tt_025C_1v80,0.0
timing__hold__wns__corner:min_tt_025C_1v80,0
timing__setup__wns__corner:min_tt_025C_1v80,0.0
timing__hold_vio__count__corner:min_tt_025C_1v80,0
timing__hold_r2r__ws__corner:min_tt_025C_1v80,0.318209
